,タイムスタンプ,氏名,Unnamed: 2,授業内容（記入例：カラン〇　100-102),レッスン内容,不明・その他の場合メモ
4,6/24/2020 17:32:21,"いとうあさこ, 山田孝之",,シャドーイング,その他,
5,6/24/2020 18:02:12,"渡辺直美, いとうあさこ",,Callan 3&4,中級,
6,6/24/2020 18:27:41,山田孝之,,中学英語　Whenの使い方、Whyの答え方,その他,
7,6/24/2020 19:05:19,福山雅治,,Callan 8&9 lesson 98,中上級,
8,6/24/2020 19:30:51,"石原さとみ, 岡田准一",,カラン５　p315-318,中級,りささんは本来カラン２のp97から。
9,6/25/2020 10:31:23,"渡辺直美, いとうあさこ",,Callan 3&4,中級,
10,6/25/2020 18:07:50,"吉田羊, 米倉涼子",,Callan 3 page 19~29,初級,
11,6/25/2020 19:08:24,福山雅治,,"Callan 8,9  lesson 95",中上級,
12,6/26/2020 15:01:42,"吉田羊, 米倉涼子",,Callan 3 page 19~29,初級,
13,6/26/2020 15:03:41,福山雅治,,"Callan 8,9  lesson 95",中上級,
14,6/26/2020 17:10:15,福山雅治,,"Callan 8,9  lesson 95",中上級,
15,6/26/2020 17:12:45,"渡辺直美, いとうあさこ",,Callan 3&4,中級,
16,6/26/2020 17:12:46,福山雅治,,Callan 8&9 lesson 98,中上級,
17,6/27/2020 18:54:18,"石原さとみ, イモトアヤコ",,カラン8 793-797 みずきさんの進捗に合わせた,中級,
18,6/27/2020 18:59:22,"上戸彩, 新垣結衣",,カラン3,初級,
19,6/29/2020 10:15:48,"上戸彩, 新垣結衣",,カラン3,初級,
20,6/29/2020 11:49:03,"上戸彩, 新垣結衣",,カラン3,初級,
21,6/29/2020 19:09:36,福山雅治,,"Callan 7,8 lesson 96",その他,
22,6/29/2020 19:11:21,"渡辺直美, 阿部サダヲ, 内村光良, 石原さとみ",,"Callan 5,6 ",中級,
23,6/29/2020 19:50:11,石原さとみ,,Callan 8 p797-799,中上級,
24,6/29/2020 19:52:09,岡田准一,,Callan stage2 p12-14. Stage9 idiom37,初級,
25,6/29/2020 19:52:52,福山雅治,,"Callan2 p14, stage8 idiom 37",中上級,
26,7/1/2020 11:42:58,福山雅治,,"Callan 7,8 lesson 96",その他,
27,7/1/2020 19:50:53,上戸彩,,Callan 5＆6 本　　p315-318,中級,
28,7/1/2020 19:51:48,"福山雅治, 石原さとみ",,callan 8 p799-800,中上級,
29,7/2/2020 9:57:11,福山雅治,,"Callan 7,8 lesson 96",その他,
30,7/2/2020 12:04:27,"渡辺直美, 阿部サダヲ, 内村光良, 石原さとみ",,"Callan 5,6 ",中級,
31,7/2/2020 12:07:09,"渡辺直美, いとうあさこ",,Callan 3&4,中級,
32,7/2/2020 18:57:30,内村光良,,"Callan 3,4 lesson 51~52 ",中級,
33,7/2/2020 18:57:38,内村光良,,"Callan 3,4 lesson 51~52 ",中級,
34,7/2/2020 18:57:45,内村光良,,"Callan 3,4 lesson 51~52 ",中級,
35,7/2/2020 18:58:19,福山雅治,,"Callan 8,9 lesson 101 pg.544",中上級,
36,7/2/2020 19:44:48,渡辺直美,,Callan 7&8 p505-507,中上級,
37,7/2/2020 19:45:35,"福山雅治, 石原さとみ, 岡田准一",,Callan 3. P15-19,初級,
38,7/3/2020 16:30:37,"渡辺直美, 阿部サダヲ, 内村光良, 石原さとみ",,"Callan 5,6 ",中級,
39,7/3/2020 16:30:42,"上戸彩, 新垣結衣",,カラン3,初級,
40,7/3/2020 16:30:45,"福山雅治, 石原さとみ",,callan 8 p799-800,中上級,
41,7/3/2020 19:38:06,"福山雅治, 石原さとみ",,Callan 8 最後まで,中級,
42,7/3/2020 19:39:21,"深田恭子, イチロー, 所ジョージ",,接続詞復習,初級,
